time_beats,cc,value,track
0.0000,64,127,PARAGRAPH_VOICE
13.7521,64,0,PARAGRAPH_VOICE
16.0000,64,127,PARAGRAPH_VOICE
32.0000,64,127,PARAGRAPH_VOICE
48.0000,64,127,PARAGRAPH_VOICE
64.0000,64,127,PARAGRAPH_VOICE
72.0000,64,127,PARAGRAPH_VOICE
88.0000,64,127,PARAGRAPH_VOICE
99.5125,64,0,PARAGRAPH_VOICE
100.0000,64,127,PARAGRAPH_VOICE
112.0000,64,127,PARAGRAPH_VOICE
124.0000,64,127,PARAGRAPH_VOICE
136.0000,64,127,PARAGRAPH_VOICE
148.0000,64,127,PARAGRAPH_VOICE
156.0000,64,127,PARAGRAPH_VOICE
172.0000,64,127,PARAGRAPH_VOICE
188.0000,64,127,PARAGRAPH_VOICE
204.0000,64,127,PARAGRAPH_VOICE
216.0000,64,127,PARAGRAPH_VOICE
228.0000,64,127,PARAGRAPH_VOICE
240.0000,64,127,PARAGRAPH_VOICE
252.0000,64,127,PARAGRAPH_VOICE
256.0000,64,127,PARAGRAPH_VOICE
268.0000,64,127,PARAGRAPH_VOICE
280.0000,64,127,PARAGRAPH_VOICE
292.0000,64,127,PARAGRAPH_VOICE
304.0000,64,127,PARAGRAPH_VOICE
312.0000,64,127,PARAGRAPH_VOICE
316.0000,64,127,PARAGRAPH_VOICE
320.0000,64,127,PARAGRAPH_VOICE
323.2729,64,0,PARAGRAPH_VOICE
324.0000,64,127,PARAGRAPH_VOICE
328.0000,64,127,PARAGRAPH_VOICE
332.0000,64,127,PARAGRAPH_VOICE
336.0000,64,127,PARAGRAPH_VOICE
340.0000,64,127,PARAGRAPH_VOICE
348.0000,64,127,PARAGRAPH_VOICE
356.0000,64,127,PARAGRAPH_VOICE
364.0000,64,127,PARAGRAPH_VOICE
368.0000,64,127,PARAGRAPH_VOICE
372.0000,64,127,PARAGRAPH_VOICE
376.0000,64,127,PARAGRAPH_VOICE
380.0000,64,127,PARAGRAPH_VOICE
400.0000,64,127,PARAGRAPH_VOICE
420.0000,64,127,PARAGRAPH_VOICE
434.7688,64,0,PARAGRAPH_VOICE
436.0000,64,127,PARAGRAPH_VOICE
451.9937,64,0,PARAGRAPH_VOICE
456.0000,64,127,PARAGRAPH_VOICE
470.4958,64,0,PARAGRAPH_VOICE
472.0000,64,127,PARAGRAPH_VOICE
484.0000,64,127,PARAGRAPH_VOICE
501.7521,64,0,PARAGRAPH_VOICE
504.0000,64,127,PARAGRAPH_VOICE
524.0000,64,127,PARAGRAPH_VOICE
532.0000,64,127,PARAGRAPH_VOICE
552.0000,64,127,PARAGRAPH_VOICE
572.0000,64,127,PARAGRAPH_VOICE
592.0000,64,127,PARAGRAPH_VOICE
612.0000,64,127,PARAGRAPH_VOICE
628.0000,64,127,PARAGRAPH_VOICE
640.0000,64,127,PARAGRAPH_VOICE
652.0000,64,127,PARAGRAPH_VOICE
664.0000,64,127,PARAGRAPH_VOICE
676.0000,64,127,PARAGRAPH_VOICE
688.0000,64,127,PARAGRAPH_VOICE
696.7437,64,0,PARAGRAPH_VOICE
700.0000,64,127,PARAGRAPH_VOICE
712.0000,64,127,PARAGRAPH_VOICE
724.0000,64,127,PARAGRAPH_VOICE
736.0000,64,127,PARAGRAPH_VOICE
744.0000,64,127,PARAGRAPH_VOICE
752.0000,64,127,PARAGRAPH_VOICE
757.7417,64,0,PARAGRAPH_VOICE
760.0000,64,127,PARAGRAPH_VOICE
768.0000,64,127,PARAGRAPH_VOICE
784.0000,64,127,PARAGRAPH_VOICE
797.7521,64,0,PARAGRAPH_VOICE
800.0000,64,127,PARAGRAPH_VOICE
814.0042,64,0,PARAGRAPH_VOICE
816.0000,64,127,PARAGRAPH_VOICE
824.0000,64,127,PARAGRAPH_VOICE
840.0000,64,127,PARAGRAPH_VOICE
856.0000,64,127,PARAGRAPH_VOICE
868.5000,64,0,PARAGRAPH_VOICE
872.0000,64,127,PARAGRAPH_VOICE
885.2437,64,0,PARAGRAPH_VOICE
888.0000,64,127,PARAGRAPH_VOICE
