time_beats,cc,value,track
0.0000,64,127,PARAGRAPH_VOICE
8.0000,64,127,PARAGRAPH_VOICE
12.0000,64,127,PARAGRAPH_VOICE
20.0000,64,127,PARAGRAPH_VOICE
28.0000,64,127,PARAGRAPH_VOICE
36.0000,64,127,PARAGRAPH_VOICE
44.0000,64,127,PARAGRAPH_VOICE
52.0000,64,127,PARAGRAPH_VOICE
60.0000,64,127,PARAGRAPH_VOICE
68.0000,64,127,PARAGRAPH_VOICE
76.0000,64,127,PARAGRAPH_VOICE
84.0000,64,127,PARAGRAPH_VOICE
92.0000,64,127,PARAGRAPH_VOICE
100.0000,64,127,PARAGRAPH_VOICE
108.0000,64,127,PARAGRAPH_VOICE
116.0000,64,127,PARAGRAPH_VOICE
124.0000,64,127,PARAGRAPH_VOICE
128.0000,64,127,PARAGRAPH_VOICE
184.0000,64,127,PARAGRAPH_VOICE
236.0000,64,127,PARAGRAPH_VOICE
240.0000,64,127,PARAGRAPH_VOICE
244.0000,64,127,PARAGRAPH_VOICE
248.0000,64,127,PARAGRAPH_VOICE
252.0000,64,127,PARAGRAPH_VOICE
254.9979,64,0,PARAGRAPH_VOICE
256.0000,64,127,PARAGRAPH_VOICE
260.0000,64,127,PARAGRAPH_VOICE
261.9958,64,0,PARAGRAPH_VOICE
264.0000,64,127,PARAGRAPH_VOICE
266.2437,64,0,PARAGRAPH_VOICE
268.0000,64,127,PARAGRAPH_VOICE
272.0000,64,127,PARAGRAPH_VOICE
292.0000,64,127,PARAGRAPH_VOICE
296.0000,64,127,PARAGRAPH_VOICE
300.0000,64,127,PARAGRAPH_VOICE
304.0000,64,127,PARAGRAPH_VOICE
308.0000,64,127,PARAGRAPH_VOICE
312.0000,64,127,PARAGRAPH_VOICE
316.0000,64,127,PARAGRAPH_VOICE
376.0000,64,127,PARAGRAPH_VOICE
420.0000,64,127,PARAGRAPH_VOICE
