time_beats,carrier_hz,beat_hz,band,iso_rate_hz,pitch_bend_R
0.0000,73.416,6.613,theta,8.267,6116
8.0000,87.307,6.613,theta,8.267,5178
12.0000,73.416,6.613,theta,8.267,6116
36.0000,97.999,6.613,theta,8.267,4631
44.0000,73.416,6.613,theta,8.267,6116
52.0000,87.307,6.613,theta,8.267,5178
60.0000,73.416,6.613,theta,8.267,6116
68.0000,87.307,6.613,theta,8.267,5178
92.0000,73.416,6.613,theta,8.267,6116
100.0000,87.307,6.613,theta,8.267,5178
128.0000,110.000,6.613,theta,8.267,4140
236.0000,73.416,6.613,theta,8.267,6116
240.0000,87.307,6.613,theta,8.267,5178
244.0000,73.416,6.613,theta,8.267,6116
248.0000,293.665,6.613,theta,8.267,1579
252.0000,130.813,6.613,theta,8.267,3497
256.0000,97.999,6.613,theta,8.267,4631
260.0000,110.000,6.613,theta,8.267,4140
264.0000,73.416,6.613,theta,8.267,6116
268.0000,110.000,6.613,theta,8.267,4140
272.0000,87.307,6.613,theta,8.267,5178
296.0000,73.416,6.613,theta,8.267,6116
316.0000,87.307,6.613,theta,8.267,5178
376.0000,73.416,6.613,theta,8.267,6116
420.0000,87.307,6.613,theta,8.267,5178
