time_beats,cc,value,track
0.0000,64,127,PARAGRAPH_VOICE
20.0000,64,127,PARAGRAPH_VOICE
40.0000,64,127,PARAGRAPH_VOICE
57.2417,64,0,PARAGRAPH_VOICE
60.0000,64,127,PARAGRAPH_VOICE
80.0000,64,127,PARAGRAPH_VOICE
100.0000,64,127,PARAGRAPH_VOICE
120.0000,64,127,PARAGRAPH_VOICE
140.0000,64,127,PARAGRAPH_VOICE
157.7458,64,0,PARAGRAPH_VOICE
160.0000,64,127,PARAGRAPH_VOICE
180.0000,64,127,PARAGRAPH_VOICE
196.9958,64,0,PARAGRAPH_VOICE
200.0000,64,127,PARAGRAPH_VOICE
220.0000,64,127,PARAGRAPH_VOICE
240.0000,64,127,PARAGRAPH_VOICE
260.0000,64,127,PARAGRAPH_VOICE
280.0000,64,127,PARAGRAPH_VOICE
300.0000,64,127,PARAGRAPH_VOICE
320.0000,64,127,PARAGRAPH_VOICE
336.0000,64,127,PARAGRAPH_VOICE
352.0000,64,127,PARAGRAPH_VOICE
368.0000,64,127,PARAGRAPH_VOICE
384.0000,64,127,PARAGRAPH_VOICE
396.0000,64,127,PARAGRAPH_VOICE
408.0000,64,127,PARAGRAPH_VOICE
420.0000,64,127,PARAGRAPH_VOICE
440.0000,64,127,PARAGRAPH_VOICE
460.0000,64,127,PARAGRAPH_VOICE
476.9979,64,0,PARAGRAPH_VOICE
480.0000,64,127,PARAGRAPH_VOICE
497.0229,64,0,PARAGRAPH_VOICE
500.0000,64,127,PARAGRAPH_VOICE
516.0000,64,127,PARAGRAPH_VOICE
532.0000,64,127,PARAGRAPH_VOICE
548.0000,64,127,PARAGRAPH_VOICE
560.0000,64,127,PARAGRAPH_VOICE
576.0000,64,127,PARAGRAPH_VOICE
592.0000,64,127,PARAGRAPH_VOICE
604.0000,64,127,PARAGRAPH_VOICE
615.7500,64,0,PARAGRAPH_VOICE
616.0000,64,127,PARAGRAPH_VOICE
628.0000,64,127,PARAGRAPH_VOICE
644.0000,64,127,PARAGRAPH_VOICE
657.2563,64,0,PARAGRAPH_VOICE
660.0000,64,127,PARAGRAPH_VOICE
676.0000,64,127,PARAGRAPH_VOICE
692.0000,64,127,PARAGRAPH_VOICE
705.2542,64,0,PARAGRAPH_VOICE
708.0000,64,127,PARAGRAPH_VOICE
724.0000,64,127,PARAGRAPH_VOICE
