time_beats,cc,value,track
0.0000,64,127,PARAGRAPH_VOICE
16.0000,64,127,PARAGRAPH_VOICE
29.7583,64,0,PARAGRAPH_VOICE
32.0000,64,127,PARAGRAPH_VOICE
48.0000,64,127,PARAGRAPH_VOICE
61.4917,64,0,PARAGRAPH_VOICE
64.0000,64,127,PARAGRAPH_VOICE
73.2375,64,0,PARAGRAPH_VOICE
76.0000,64,127,PARAGRAPH_VOICE
92.0000,64,127,PARAGRAPH_VOICE
108.0000,64,127,PARAGRAPH_VOICE
124.0000,64,127,PARAGRAPH_VOICE
136.7500,64,0,PARAGRAPH_VOICE
140.0000,64,127,PARAGRAPH_VOICE
152.0000,64,127,PARAGRAPH_VOICE
164.0000,64,127,PARAGRAPH_VOICE
176.0000,64,127,PARAGRAPH_VOICE
188.0000,64,127,PARAGRAPH_VOICE
200.0000,64,127,PARAGRAPH_VOICE
212.0000,64,127,PARAGRAPH_VOICE
219.7625,64,0,PARAGRAPH_VOICE
220.0000,64,127,PARAGRAPH_VOICE
236.0000,64,127,PARAGRAPH_VOICE
252.0000,64,127,PARAGRAPH_VOICE
268.0000,64,127,PARAGRAPH_VOICE
280.0000,64,127,PARAGRAPH_VOICE
296.0000,64,127,PARAGRAPH_VOICE
312.4958,64,0,PARAGRAPH_VOICE
316.0000,64,127,PARAGRAPH_VOICE
336.0000,64,127,PARAGRAPH_VOICE
356.0000,64,127,PARAGRAPH_VOICE
372.0000,64,127,PARAGRAPH_VOICE
