time_beats,cc,value,track
240.0000,64,127,PARAGRAPH_VOICE
260.0000,64,127,PARAGRAPH_VOICE
280.0000,64,127,PARAGRAPH_VOICE
300.0000,64,127,PARAGRAPH_VOICE
312.0000,64,127,PARAGRAPH_VOICE
330.0167,64,0,PARAGRAPH_VOICE
332.0000,64,127,PARAGRAPH_VOICE
352.0000,64,127,PARAGRAPH_VOICE
360.0000,64,127,PARAGRAPH_VOICE
376.5042,64,0,PARAGRAPH_VOICE
380.0000,64,127,PARAGRAPH_VOICE
396.0000,64,127,PARAGRAPH_VOICE
408.0000,64,127,PARAGRAPH_VOICE
428.0000,64,127,PARAGRAPH_VOICE
444.5000,64,0,PARAGRAPH_VOICE
448.0000,64,127,PARAGRAPH_VOICE
464.7375,64,0,PARAGRAPH_VOICE
468.0000,64,127,PARAGRAPH_VOICE
484.0000,64,127,PARAGRAPH_VOICE
500.0000,64,127,PARAGRAPH_VOICE
516.0000,64,127,PARAGRAPH_VOICE
532.0167,64,0,PARAGRAPH_VOICE
536.0000,64,127,PARAGRAPH_VOICE
552.0000,64,127,PARAGRAPH_VOICE
564.0000,64,127,PARAGRAPH_VOICE
580.0229,64,0,PARAGRAPH_VOICE
584.0000,64,127,PARAGRAPH_VOICE
600.0000,64,127,PARAGRAPH_VOICE
608.0000,64,127,PARAGRAPH_VOICE
624.0000,64,127,PARAGRAPH_VOICE
632.0000,64,127,PARAGRAPH_VOICE
647.2354,64,0,PARAGRAPH_VOICE
648.0000,64,127,PARAGRAPH_VOICE
664.0000,64,127,PARAGRAPH_VOICE
680.2479,64,0,PARAGRAPH_VOICE
684.0000,64,127,PARAGRAPH_VOICE
692.0000,64,127,PARAGRAPH_VOICE
707.4625,64,0,PARAGRAPH_VOICE
708.0000,64,127,PARAGRAPH_VOICE
728.0000,64,127,PARAGRAPH_VOICE
740.0000,64,127,PARAGRAPH_VOICE
754.2500,64,0,PARAGRAPH_VOICE
756.0000,64,127,PARAGRAPH_VOICE
772.0000,64,127,PARAGRAPH_VOICE
784.0000,64,127,PARAGRAPH_VOICE
