time_beats,carrier_hz,beat_hz,band,iso_rate_hz,pitch_bend_R
0.0000,146.832,6.613,theta,8.267,3124
240.0000,130.813,6.613,theta,12.400,3497
240.2500,130.813,6.820,theta,12.400,3604
240.5000,130.813,7.027,theta,12.400,3710
240.7500,130.813,7.233,theta,12.400,3816
241.0000,130.813,7.440,theta,12.400,3923
241.2500,130.813,7.647,theta,12.400,4028
241.5000,130.813,7.853,theta,12.400,4134
241.7500,130.813,8.060,alpha,12.400,4240
242.0000,130.813,8.267,alpha,12.400,4345
312.0000,87.307,8.267,alpha,12.400,6415
408.0000,110.000,8.267,alpha,12.400,5138
500.0000,130.813,8.267,alpha,12.400,4345
632.0000,87.307,8.267,alpha,12.400,6415
692.0000,73.416,8.267,alpha,12.400,7566
740.0000,87.307,8.267,alpha,12.400,6415
